ma,tp,sl,half_close,trades,win_rate,total_profit,avg_profit,max_dd,profit_factor,half_closed_pct
100,10.0,5.0,3.0,165,69.6969696969697,112.49999999999989,0.6818181818181811,26.00000000000005,1.449999999999999,69.6969696969697
100,7.0,5.0,3.0,168,69.64285714285714,98.99999999999986,0.5892857142857134,27.000000000000064,1.388235294117646,69.64285714285714
100,5.0,5.0,3.0,173,68.78612716763006,98.49999999999986,0.5693641618497102,24.000000000000036,1.3648148148148138,68.78612716763006
50,5.0,5.0,3.0,267,65.54307116104869,94.62184784460702,0.3543889432382285,32.50000000000007,1.20778741227866,65.54307116104869
50,10.0,3.0,3.0,292,53.42465753424658,93.6218478446072,0.32062276659112054,47.500000000000085,1.2309494168514519,53.42465753424658
100,10.0,3.0,3.0,189,57.14285714285714,88.99999999999991,0.47089947089947043,24.00000000000003,1.3662551440329211,57.14285714285714
100,5.0,3.0,3.0,196,56.63265306122449,88.9999999999999,0.45408163265306073,24.000000000000043,1.3490196078431367,56.63265306122449
50,7.0,5.0,3.0,259,65.25096525096525,88.12184784460705,0.34023879476682256,42.00000000000007,1.1978584881592063,65.25096525096525
50,10.0,5.0,3.0,246,65.85365853658537,87.62184784460712,0.35618637335206144,40.500000000000114,1.2109447677735052,65.85365853658537
50,5.0,2.0,3.0,356,42.69662921348314,84.12184784460706,0.2362973254061996,29.000000000000156,1.2070038642541003,42.69662921348314
50,10.0,2.0,3.0,329,42.5531914893617,83.6218478446071,0.25416975028755956,42.50000000000015,1.2221750847272417,42.5531914893617
50,5.0,3.0,3.0,319,52.97805642633229,78.62184784460707,0.24646347286710682,36.50000000000014,1.175739131349665,52.97805642633229
50,5.0,5.0,2.0,301,73.75415282392026,76.99999999999977,0.2558139534883713,34.50000000000008,1.1949367088607588,73.75415282392026
50,7.0,3.0,3.0,307,52.76872964169381,76.62184784460712,0.24958256626907857,44.00000000000014,1.17721026712994,52.76872964169381
100,5.0,2.0,3.0,215,46.04651162790698,76.49999999999989,0.3558139534883716,26.000000000000078,1.329741379310344,46.04651162790698
100,7.0,3.0,3.0,192,57.291666666666664,76.49999999999987,0.39843749999999933,24.000000000000014,1.3109756097560967,57.291666666666664
100,5.0,5.0,1.0,216,88.42592592592592,75.49999999999993,0.3495370370370367,16.50000000000003,1.6039999999999988,88.42592592592592
50,7.0,2.0,3.0,344,42.44186046511628,73.12184784460705,0.21256351117618327,37.50000000000016,1.1854104935706367,42.44186046511628
50,7.0,5.0,2.0,293,73.72013651877133,72.49999999999982,0.24744027303754204,34.50000000000008,1.1883116883116878,73.72013651877133
50,5.0,2.0,2.0,372,52.68817204301075,71.4999999999998,0.19220430107526829,22.00000000000002,1.2031249999999991,52.68817204301075
100,10.0,5.0,1.0,210,88.09523809523809,67.49999999999993,0.32142857142857106,18.000000000000043,1.5399999999999987,88.09523809523809
50,5.0,5.0,1.0,341,84.75073313782991,64.49999999999987,0.1891495601173017,28.000000000000078,1.2480769230769224,84.75073313782991
100,10.0,2.0,3.0,210,46.19047619047619,64.49999999999986,0.30714285714285644,33.00000000000009,1.2853982300884945,46.19047619047619
50,7.0,5.0,1.0,334,85.02994011976048,63.49999999999987,0.19011976047904153,27.50000000000005,1.2539999999999993,85.02994011976048
50,10.0,5.0,2.0,279,74.19354838709677,61.99999999999987,0.22222222222222177,40.0000000000001,1.1722222222222218,74.19354838709677
50,10.0,2.0,2.0,347,52.73775216138329,59.999999999999844,0.17291066282420703,28.000000000000107,1.1829268292682922,52.73775216138329
100,5.0,5.0,2.0,190,75.26315789473685,57.99999999999986,0.30526315789473607,23.00000000000007,1.246808510638297,75.26315789473685
50,7.0,2.0,2.0,360,52.77777777777778,56.49999999999979,0.15694444444444386,27.50000000000015,1.1661764705882345,52.77777777777778
100,7.0,5.0,1.0,212,88.20754716981132,55.999999999999915,0.264150943396226,17.50000000000004,1.4479999999999986,88.20754716981132
100,7.0,2.0,3.0,212,46.22641509433962,55.49999999999984,0.2617924528301879,32.0000000000001,1.243421052631578,46.22641509433962
25,5.0,2.0,2.0,562,51.245551601423486,52.49999999999964,0.09341637010676092,25.00000000000005,1.0958029197080286,51.245551601423486
100,10.0,5.0,2.0,182,75.27472527472527,51.999999999999865,0.285714285714285,24.000000000000078,1.2311111111111102,75.27472527472527
25,10.0,2.0,2.0,517,51.64410058027079,51.9999999999997,0.10058027079303618,41.000000000000185,1.1039999999999992,51.64410058027079
25,5.0,5.0,1.0,496,84.07258064516128,48.499999999999766,0.09778225806451565,58.00000000000016,1.1227848101265814,84.07258064516128
50,5.0,2.0,1.0,390,67.6923076923077,47.49999999999988,0.12179487179487149,20.000000000000025,1.1884920634920628,67.6923076923077
50,5.0,3.0,2.0,346,61.27167630057804,47.49999999999981,0.1372832369942191,30.500000000000142,1.118159203980099,61.27167630057804
50,10.0,3.0,2.0,319,61.75548589341693,45.999999999999886,0.1442006269592473,44.00000000000011,1.125683060109289,61.75548589341693
25,10.0,2.0,3.0,494,41.093117408906885,44.12184784460696,0.08931548146681571,46.000000000000185,1.076022585758524,41.093117408906885
25,5.0,2.0,3.0,542,40.405904059040594,44.12184784460688,0.081405623329533,32.00000000000009,1.0684719798413755,40.405904059040594
100,5.0,3.0,2.0,211,63.03317535545023,43.999999999999886,0.20853080568720325,28.000000000000036,1.1880341880341874,63.03317535545023
25,10.0,3.0,2.0,468,61.32478632478633,43.99999999999979,0.09401709401709356,59.0000000000002,1.0810313075506441,61.32478632478633
100,7.0,5.0,2.0,185,75.13513513513513,41.999999999999844,0.22702702702702618,26.000000000000075,1.182608695652173,75.13513513513513
50,5.0,3.0,1.0,374,75.1336898395722,41.49999999999993,0.11096256684491959,23.50000000000003,1.1487455197132612,75.1336898395722
50,10.0,5.0,1.0,321,84.73520249221184,40.99999999999988,0.12772585669781894,43.500000000000085,1.1673469387755098,84.73520249221184
25,10.0,5.0,3.0,348,64.36781609195403,40.62184784460701,0.1167294478293305,71.50000000000023,1.0660111960464096,64.36781609195403
25,10.0,3.0,1.0,524,75.0,38.499999999999915,0.07347328244274792,39.00000000000013,1.0979643765903304,75.0
50,7.0,3.0,2.0,334,61.377245508982035,38.49999999999984,0.11526946107784382,36.500000000000156,1.0994832041343663,61.377245508982035
25,5.0,3.0,2.0,510,60.78431372549019,37.499999999999744,0.07352941176470539,50.00000000000015,1.0624999999999993,60.78431372549019
25,5.0,5.0,3.0,383,63.44647519582245,36.621847844606926,0.0956184016830468,65.00000000000023,1.0526646512132916,63.44647519582245
25,10.0,5.0,1.0,468,83.76068376068376,35.99999999999978,0.07692307692307646,68.50000000000023,1.0947368421052626,83.76068376068376
25,7.0,5.0,1.0,487,83.9835728952772,34.999999999999744,0.07186858316221713,62.00000000000023,1.089743589743589,83.9835728952772
100,5.0,3.0,1.0,232,78.01724137931035,32.49999999999994,0.1400862068965515,23.000000000000025,1.2124183006535942,78.01724137931035
50,7.0,2.0,1.0,380,67.89473684210526,31.999999999999876,0.08421052631578915,21.50000000000002,1.1311475409836058,67.89473684210526
25,5.0,3.0,1.0,559,74.95527728085868,31.999999999999858,0.0572450805008942,45.000000000000085,1.076190476190476,74.95527728085868
50,7.0,3.0,1.0,363,75.48209366391184,30.999999999999925,0.08539944903581247,25.500000000000025,1.116104868913857,75.48209366391184
100,5.0,2.0,2.0,227,52.863436123348016,30.999999999999886,0.13656387665198189,21.000000000000046,1.1448598130841114,52.863436123348016
25,5.0,5.0,2.0,428,71.96261682242991,30.49999999999965,0.07126168224298983,81.50000000000028,1.0508333333333326,71.96261682242991
100,10.0,3.0,2.0,204,62.745098039215684,29.999999999999893,0.14705882352941124,29.000000000000025,1.1315789473684204,62.745098039215684
100,10.0,3.0,1.0,227,77.97356828193833,28.499999999999954,0.12555066079295135,24.000000000000032,1.1899999999999995,77.97356828193833
50,10.0,3.0,1.0,349,75.35816618911176,28.499999999999947,0.08166189111747836,23.000000000000078,1.1104651162790695,75.35816618911176
25,10.0,2.0,1.0,558,66.12903225806451,26.499999999999808,0.047491039426522955,28.500000000000153,1.0701058201058196,66.12903225806451
25,5.0,2.0,1.0,593,66.10455311973018,26.499999999999766,0.04468802698144986,22.500000000000117,1.0659203980099494,66.10455311973018
50,10.0,2.0,1.0,366,67.4863387978142,25.499999999999908,0.06967213114754073,24.500000000000032,1.1071428571428565,67.4863387978142
25,10.0,3.0,3.0,436,50.22935779816514,25.121847844607007,0.05761891707478672,55.500000000000156,1.0387456729704647,50.22935779816514
100,5.0,2.0,1.0,241,69.70954356846472,22.999999999999957,0.09543568464730273,21.50000000000003,1.1575342465753422,69.70954356846472
25,10.0,5.0,2.0,396,72.47474747474747,21.999999999999705,0.05555555555555481,101.0000000000003,1.0403669724770634,72.47474747474747
100,7.0,3.0,2.0,207,62.80193236714976,21.499999999999854,0.1038647342995162,28.00000000000011,1.0930735930735924,62.80193236714976
25,7.0,3.0,1.0,544,75.18382352941177,19.999999999999844,0.03676470588235265,43.50000000000013,1.0493827160493823,75.18382352941177
100,10.0,2.0,1.0,238,69.74789915966386,18.999999999999954,0.07983193277310904,27.000000000000064,1.1319444444444442,69.74789915966386
25,7.0,2.0,2.0,545,51.00917431192661,16.999999999999602,0.031192660550457985,37.0000000000002,1.0318352059925087,51.00917431192661
100,7.0,3.0,1.0,229,78.16593886462883,16.499999999999922,0.07205240174672455,23.000000000000068,1.1099999999999994,78.16593886462883
100,10.0,2.0,2.0,222,53.153153153153156,14.999999999999861,0.06756756756756695,32.00000000000011,1.072115384615384,53.153153153153156
100,7.0,2.0,2.0,224,53.125,10.499999999999838,0.04687499999999928,34.00000000000014,1.0499999999999992,53.125
25,5.0,3.0,3.0,479,49.478079331941544,9.621847844606942,0.020087365020056244,53.50000000000015,1.0133012696277008,49.478079331941544
100,7.0,2.0,1.0,239,69.8744769874477,9.499999999999927,0.03974895397489509,26.00000000000007,1.0659722222222219,69.8744769874477
25,7.0,2.0,1.0,576,66.49305555555556,8.499999999999725,0.014756944444443967,29.00000000000015,1.0220207253886002,66.49305555555556
25,7.0,2.0,3.0,525,39.80952380952381,1.6218478446068323,0.0030892339897272995,57.50000000000026,1.0025728173463204,39.80952380952381
25,7.0,3.0,2.0,495,60.4040404040404,-2.000000000000279,-0.004040404040404604,70.00000000000017,0.9965986394557818,60.4040404040404
25,7.0,5.0,3.0,374,63.101604278074866,-5.878152155393093,-0.015716984372708805,102.00000000000027,0.9914234906133098,63.101604278074866
25,7.0,5.0,2.0,419,71.59904534606206,-15.00000000000037,-0.03579952267303191,107.50000000000031,0.974789915966386,71.59904534606206
25,7.0,3.0,3.0,465,49.03225806451613,-26.878152155393085,-0.05780247775353352,84.00000000000017,0.9620567742333519,49.03225806451613
